NE-2019-1218700,MME-19-390Pv,NER19-02920,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Kennebunk,York,ME,Atlantic Ocean,Middle Beach,43.437209,decimal degrees,actual,-70.366041,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,Y,,,,,Y,,,,,,2019-OCT-16,2019,OCT,16,Beach or Land,,,Alive,Y,2019-OCT-16,2019,OCT,16,Alive,,,,,,,Y,,,,,Mystic Aquarium,,,,,Y,Y,,,,,,,,,,,,MALE,YEARLING,,,85,cm,actual,11.6,kg,actual,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,"Large semi-circle laceration on left side and laceration on left side of neck. Restranded 10/24/19 one beach over from original strand location, QAR, back in water before volunteer arrival. Restranded in same general location 10/24/19 just before dark, still there in early am, collected.",,dwalk,,dwalk,43936.43889,72121,N,N,2019-OCT-27,Marine Mammals of Maine,84,cm,actual,10.1,kg,actual,,,,,N,N,Y,archive samples,,,,,,,,,84,cm,actual,11.2,kg,actual,Pup/Calf,notApplicable,N,,,,N,,,,,Y,N,2019-NOV-01,Mystic Aquarium,severe bronchopneumonia and pulmonary thrombosis,pulmonary disease,Y,complete,fresh,2019-NOV-01,Dr. Michelle Rivard,N,,United States,/,,,,decimal degrees,,decimal degrees,,N,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,72120,lwyeth,43782.85828,,,2,,,Beach or Land,35,493,Kennebunk,1509,Middle Beach,43.437209,actual,-70.366041,actual,Internet,,,,,,,,,,,,N,,N,N,,,,,,,,,,,,,0
NE-2019-1218700,MME-19-390Pv,NER19-02920,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Kennebunk,York,ME,Atlantic Ocean,Middle Beach,43.437209,decimal degrees,actual,-70.366041,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,Y,,,,,Y,,,,,,2019-OCT-16,2019,OCT,16,Beach or Land,,,Alive,Y,2019-OCT-16,2019,OCT,16,Alive,,,,,,,Y,,,,,Marine Mammals of Maine,,,,,Y,Y,,,,,,,,,,,,MALE,YEARLING,,,85,cm,actual,11.6,kg,actual,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,"Large semi-circle laceration on left side and laceration on left side of neck. Restranded 10/24/19 one beach over from original strand location, QAR, back in water before volunteer arrival. Restranded in same general location 10/24/19 just before dark, still there in early am, collected.",,dwalk,,dwalk,43936.43889,72120,N,N,2019-OCT-25,Marine Mammals of Maine,85,cm,actual,11.6,kg,actual,,,,,N,N,N,,,,,,,,,,85,cm,actual,11.6,,actual,Yearling,notApplicable,Y,2019-OCT-27,Mystic Aquarium,,N,,,,,N,N,,,,,N,,,,,N,,United States,/,,,,decimal degrees,,decimal degrees,,N,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,,dwalk,,,,2,,,Beach or Land,35,493,Kennebunk,1509,Middle Beach,43.437209,actual,-70.366041,actual,Internet,,,,,,,,,,,,N,,N,N,,,,,,,,,,,,,0
IFAW19-446Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2019-1219895,MME-19-399Pv,NER19-03206,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Biddeford,York,ME,Atlantic Ocean,Fortunes Rocks Beach,43.426537,decimal degrees,actual,-70.377047,decimal degrees,actual,,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2019-OCT-25,2019,OCT,25,Beach or Land,,,Alive,Y,2019-OCT-25,2019,OCT,25,Alive,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,MALE,YEARLING,,,95,cm,actual,16,kg,actual,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,complete,frozen,2019-Nov-21,2019,NOV,21,Marine Mammals of Maine,"Fairly robust, snappy when approached, but when no interaction behavior off. Collected for further evaluation, electrolytes imbalanced, kidney values significantly elevated.",,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Beach or Land,35,227,Biddeford,1509,Fortunes Rocks Beach,43.426537,actual,-70.377047,actual,,,,,,2,,,,,,,N,,N,N,,,,,,,,,,,,,0
IFAW19-460Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFAW19-470Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFAW20-002Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFAW20-005Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFAW20-031Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFAW20-069Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFAW20-079Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFAW20-087Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2020-1227003,COA200526Pv-02,NER20-00540,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Rosemary Seton,College of the Atlantic/Allied Whale,College of the Atlantic/Allied Whale,,,,NE,United States,Stonington,Hancock,ME,Atlantic Ocean,Green Head Lobster Pound,44.152038,decimal degrees,actual,-68.668625,decimal degrees,actual,Internet,,,,,,,,,,Y,,,,,Y,Unauthorized collection,,,,,,,,,,,,,,,,,,,,,,,,,2020-MAY-26,2020,MAY,26,Beach or Land,,,Alive,Y,2020-MAY-26,2020,MAY,26,Alive,,,,,,,Y,,,,,Marine Mammals of Maine,,,,,,,,,,,Y,,,Y,Unauthorized collection,,,MALE,PUP/CALF,,,70,cm,estimate,9.6,kg,actual,Y,"Digital images taken by the reported party and Allied Whale and housed at Allied Whale, COA.",N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,rseton,,rseton,,76480,N,N,2020-MAY-28,College of the Atlantic,89,cm,actual,9.6,kg,actual,,,,,N,N,N,,,,,,,,,,89,cm,,9.6,kg,,Pup/Calf,notApplicable,N,,,,N,,,,,Y,Y,2020-JUN-16,Marine Mammals of Maine,"G.I. infection, failure to thrive",,N,,,,,N,,United States,/,,,,decimal degrees,,decimal degrees,,N,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,,dwalk,,,,1,,,Beach or Land,35,586,Stonington,1509,Green Head Lobster Pound,44.152038,actual,-68.668625,actual,Internet,,,,,,,,,,,,N,Probable,N,N,,,,,,,,,,,,,3
NE-2020-1224790,MME-20-059Pv,NER20-00291,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Chebeague Island,Cumberland,ME,Atlantic Ocean,Central Landing,43.736692,decimal degrees,actual,-70.107352,decimal degrees,actual,Internet,,,,,,,,,,CBD,N,,,,,,,,,,,,,,,,,Y,Y,,,,,,Y,,,,,,2020-MAY-28,2020,MAY,28,Beach or Land,,,Alive,Y,2020-May-29,2020,MAY,29,Alive,Y,,,,,,Y,,,,,Marine Mammals of Maine,,,,,Y,Y,,,,,,,,,,,,FEMALE,PUP/CALF,,,83,cm,actual,7.5,kg,actual,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,dwalk,,,,75280,N,N,2020-MAY-29,Marine Mammals of Maine,83,cm,actual,7.5,kg,actual,,,,,N,N,N,,,,,,,,,,83,cm,actual,7.5,kg,actual,Pup/Calf,notApplicable,N,,,,N,,,,,Y,Y,2020-JUN-06,Marine Mammals of Maine,failure to thrive,,N,,,,,N,,United States,/,,,,decimal degrees,,decimal degrees,,N,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,,dwalk,,,,1,,,Beach or Land,35,212,Chebeague Island,1509,Central Landing,43.736692,actual,-70.107352,actual,Internet,,,,,,,,,,,,N,,N,N,,,,,,,,,,,,,0
NE-2020-1224793,MME-20-064Pv,NER20-00292,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Spruce Head,Knox,ME,Atlantic Ocean,Island Rd,43.995715,decimal degrees,actual,-69.121693,decimal degrees,actual,Internet,,,,,,,,,,Y,,,,,Y,people tried to feed fish,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2020-MAY-29,2020,MAY,29,Beach or Land,,,Alive,Y,2020-MAY-29,2020,MAY,29,Alive,Y,,,,,,Y,,,,,Marine Mammals of Maine,,,,,Y,,,,Y,,,,,,,,,FEMALE,PUP/CALF,,,82,cm,actual,7.5,kg,actual,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,dwalk,,,,75281,N,N,2020-MAY-30,Marine Mammals of Maine,82,cm,actual,7.5,kg,actual,,,,,N,N,N,,,,,,,,,,82,cm,actual,7.5,kg,actual,Pup/Calf,notApplicable,N,,,,N,,,,,Y,N,2020-JUN-18,Marine Mammals of Maine,Pending necropsy,,N,,,,,N,,United States,/,,,,decimal degrees,,decimal degrees,,N,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,,dwalk,,,,1,,,Beach or Land,35,587,Spruce Head,1509,Island Rd,43.995715,actual,-69.121693,actual,Internet,,,,,,,,,,,,N,Improbable,N,N,,,,,,,,,,,,,0
NE-2020-1224804,MME-20-080Pv,NER20-00297,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Stave Island,Cumberland,ME,Atlantic Ocean,Private Beach,43.7159,decimal degrees,actual,-70.0875,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2020-JUN-05,2020,JUN,5,Beach or Land,,,Alive,Y,2020-Jun-08,2020,JUN,8,Alive,Y,,,,,,Y,,,,,Marine Mammals of Maine,,,,,Y,,,,Y,,,,,,,,,FEMALE,PUP/CALF,,,76,cm,actual,8.1,kg,actual,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,dwalk,,,,75287,N,N,2020-JUN-08,Marine Mammals of Maine,76,cm,actual,8.1,kg,actual,,,,,N,N,N,,,,,,,,,,76,cm,actual,8.1,kg,actual,Pup/Calf,notApplicable,N,,,,N,,,,,Y,Y,2020-JUN-21,Marine Mammals of Maine,Failure to thrive,,Y,complete,fresh,2020-JUN-23,Marine Mammals of Maine,N,,United States,/,,,,decimal degrees,,decimal degrees,,N,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,,dwalk,,,,1,,,Beach or Land,35,212,Stave Island,1509,Private Beach,43.7159,actual,-70.0875,actual,Internet,,,,,,,,,,,,N,,N,N,,,,,,,,,,,,,0
SSC-20-035 Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2020-1230927,MME-20-126Pv,NER20-00869,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,South Bristol,Lincoln,ME,Atlantic Ocean,111 West Side Rd,43.853893,decimal degrees,actual,-69.564104,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,N,,,,,,,Y,,,,,,2020-JUN-26,2020,JUN,26,Beach or Land,,,Fresh Dead,Y,2020-JUN-26,2020,JUN,26,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,YEARLING,,,91,cm,actual,,,notMeasured,N,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Beach or Land,35,,South Bristol,1509,111 West Side Rd,43.853893,actual,-69.564104,actual,Internet,,,,,,,,,,,,N,,N,N,,,,,,,,,,,,,0
NE-2020-1228587,MME-20-129Pv,NER20-00606,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Cape Elizabeth,Cumberland,ME,Atlantic Ocean,Trundy Point,43.5795,decimal degrees,actual,-70.2139,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2020-JUN-27,2020,JUN,27,Beach or Land,,,Alive,Y,2020-JUN-27,2020,JUN,27,Alive,,,,,,,Y,,,,,Marine Mammals of Maine,,,,,Y,,,,Y,,,,,,,,,FEMALE,PUP/CALF,,,76,cm,actual,9.1,kg,actual,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,dwalk,,,,77178,N,N,2020-JUN-27,Marine Mammals of Maine,76,cm,actual,9.1,kg,actual,,,,,N,N,N,,,,,,,,,,76,cm,actual,9.1,kg,actual,Pup/Calf,notApplicable,N,,,,N,,,,,Y,Y,2020-JUL-11,Marine Mammals of Maine,hypoglycemia,,Y,limited,fresh,2020-JUL-13,Marne Mammals of Maine,N,,United States,/,,,,decimal degrees,,decimal degrees,,N,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,,dwalk,,,,1,,,Beach or Land,35,212,Cape Elizabeth,1509,Trundy Point,43.5795,actual,-70.2139,actual,Internet,,,,,,,,,,,,N,,N,N,,,,,,,,,,,,,0
NE-2020-1228588,MME-20-135Pv,NER20-00607,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Ogunquit,York,ME,Atlantic Ocean,Art Museum,43.234007,decimal degrees,actual,-70.588477,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2020-JUL-01,2020,JUL,1,Beach or Land,,,Alive,Y,2020-JUL-1,2020,JUL,1,Alive,,,,,,,Y,,,,,Marine Mammals of Maine,,,,,Y,,,,,,,,,,,,,FEMALE,PUP/CALF,,,80,cm,actual,9,kg,actual,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,dwalk,,,,77179,N,N,2020-JUL-01,Marine Mammals of Maine,80,cm,actual,9,kg,actual,,,,,N,N,N,,,,,,,,,,80,cm,actual,9,kg,actual,Pup/Calf,notApplicable,N,,,,N,,,,,Y,N,2020-JUL-02,Marine Mammals of Maine,Septicemia,,N,,,,,N,,United States,/,,,,decimal degrees,,decimal degrees,,N,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,,dwalk,,,,1,,,Beach or Land,35,227,Ogunquit,1509,Art Museum,43.234007,actual,-70.588477,actual,Internet,,,,,,,,,,,,N,,N,N,,,,,,,,,,,,,0
NE-2020-1228712,MME-20-148Pv,NER20-00610,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Wells,York,ME,Atlantic Ocean,Wells Beach,43.302508,decimal degrees,actual,-70.565855,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,,Y,,,,,Y,,,,,,2020-JUL-05,2020,JUL,5,Beach or Land,,,Alive,N,2020-Jul-06,2020,JUL,6,Alive,Y,,,,,,Y,,,,,Marine Mammals of Maine,,,,,,Y,,,,,,,,,,,,FEMALE,,,,75,cm,actual,9.4,kg,actual,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,Significant laceration wounds over body consistent with shark bite,,dwalk,,,,77236,N,N,2020-JUL-06,Marine Mammals of Maine,75,cm,actual,9.4,kg,actual,,,,,N,N,N,,,,,,,,,,75,cm,actual,9.4,kg,actual,Pup/Calf,notApplicable,N,,,,N,,,,,Y,N,2020-JUL-11,Marine Mammals of Maine,"Septicemia, trauma","Doing well, quickly declined, one laceration started bleeding extensively, passed quickly",Y,limited,fresh,2020-JUL-13,Marine Mammals of Maine,N,,United States,/,,,,decimal degrees,,decimal degrees,,N,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,,dwalk,,,,1,,,Beach or Land,35,227,Wells,1509,Wells Beach,43.302508,actual,-70.565855,actual,Internet,,,,,,,,,,,,N,,N,N,,,,,,,,,,,,,0
SSC-20-051 Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSC-20-058 Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSC-20-082 Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFAW21-025Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSC-21-028 Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
